sum_elem_nutr_score,sum_mid_nutr_score,sum_elem_ne_scores,sum_mid_ne_scores,sum_elem_pa_scores,sum_mid_pa_scores,total_elem_wp,total_mid_wp,three_mean_edfa_ela,three_mean_edfa_math,four_mean_edfa_ela,four_mean_edfa_math,five_mean_edfa_ela,five_mean_edfa_math,six_mean_edfa_ela,six_mean_edfa_math,seven_mean_edfa_ela,seven_mean_edfa_math,eight_mean_edfa_ela,eight_mean_edfa_math
18,32,26,27,26,25,70,84,0.55346107,0.44940028,0.22904935,0.6007542,0.18426424,0.20319712,-0.17033871,-0.51931757,0.080401443,-0.17378622,0.040921107,-0.062459197
22,37,15,15,36,33,73,85,0.18474391,0.15552644,0.097754918,0.20422156,0.11285118,0.36362904,-0.18330789,0.064424574,0.1175352,-0.017136324,0.059116438,-0.1470397
29,41,38,37,35,23,102,101,0.23189075,0.11202879,-0.16771366,-0.31647712,-0.52169895,-0.57402432,-0.16465753,-0.67207134,-0.15975572,-0.28258529,-0.29695281,-0.2756106
25,30,35,35,31,23,91,88,0.30227864,0.14022288,0.44150275,0.178758,0.15301433,0.15171266,-0.36210868,-0.048041731,-0.40002412,-0.2388781,-0.26765102,-0.038968764
21,17,42,36,28,24,91,77,0.39975622,-0.070899077,0.22993626,0.006985458,-0.13868494,-0.52136797,0.39238867,-0.055244621,0.74253541,0.7849474,0.40175521,0.061710704
29,33,40,23,24,27,93,83,0.24754916,0.13873118,-0.21298419,-0.53615034,-0.052805476,-0.40895212,0.25510889,0.30089203,-0.049938761,-0.42943978,0.34617245,0.12919033
31,30,21,14,36,25,88,69,0.66021186,0.7457906,0.27155748,-0.11262283,0.14093916,0.14453335,-0.068574943,0.19494967,0.45823389,0.20455188,-0.12220673,0.10020673
35,43,34,33,35,28,104,104,-0.14061645,0.048830826,-0.49854282,-0.57068294,-0.27317539,-0.13496768,-0.46011019,-0.60452724,,,,
57,56,50,50,43,35,150,141,0.10331168,0.1335592,-0.13141218,-0.20660132,-0.31852421,-0.33620197,-0.31681129,-0.2473231,0.049857955,-0.010898832,-0.085808374,-0.032119725
30,28,29,26,23,9,82,63,0.011562979,0.23260024,-0.31996167,-0.15542978,-0.03450235,0.27577126,0.043310951,-0.13776442,0.72788012,0.40720883,0.39492306,0.33512491
32,48,45,44,41,33,118,125,0.16022485,-0.069924407,0.18349969,0.018005669,0.008372853,-0.030654427,0.035677604,0.062062554,0.11731531,-0.10380629,-0.040381305,-0.30821511
30,26,26,26,34,25,90,77,0.23051187,-0.18607137,0.39352116,0.50802392,0.21784449,0.37504706,0.26313651,0.22952284,-0.1902793,-0.55994356,-0.15476353,-0.76637626
37,35,44,41,39,34,120,110,0.59409451,0.62005365,0.78358561,0.994479,-0.17262465,-0.26593456,,,-0.40841424,-0.56660599,-0.026821386,-0.19906723
40,40,44,34,43,36,127,110,0.18062317,0.029394655,,,0.15446594,-0.038682461,0.58958894,0.43413642,0.12437662,0.3314513,0.10799107,0.25647464
