total_elem_nutr,total_mid_nutr,total_elem_ne,total_mid_ne,total_elem_pa,total_mid_pa,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
21,17,42,36,28,24,-1.70609322,-1.040351823,-0.288242999,0.06807146,0.149111817,0.19056198,-0.46695189,-0.266766169,-0.44801932,-0.42956868,0.26899118,0.736921556
29,33,40,23,24,27,-0.27184889,-0.187729365,0.54024844,0.543812221,-0.301593964,-0.08289054,0.13037515,-0.0463146,0.299623971,0.71159985,-0.16207424,-0.3793245
31,30,21,14,36,25,0.14961481,0.03971106,-0.188473113,0.40842834,-0.52371557,-0.31796776,0.190660673,0.00913236,-0.490104568,-0.300300446,0.50395079,0.32652068
57,56,50,50,43,35,-0.129242938,-0.112925944,0.156999409,0.110361589,0.06523296,-0.20287144,0.269282122,0.270666948,-0.311054245,-0.261995608,0.00137376,-0.298290075
30,28,29,26,23,9,0.008286349,0.01563761,0.04897195,0.209313936,-0.22357044,-0.39126556,0.062559089,0.082018159,-1.22577932,-0.332201727,-0.16639115,-0.1064292
32,48,45,44,41,33,0.16223127,0.015696772,-0.196695103,-0.193244849,0.061820408,-0.062076915,-0.048571459,0.060091456,-0.063417408,0.159679244,0.182084795,0.221604569
30,26,26,26,34,25,0.1200724,0.40468035,0.30451158,0.2710492,-0.04608028,0.00392711,-0.13188529,0.00782941,-0.08382169,0.549113014,0.252902391,0.36620221
37,35,44,41,39,34,-0.59409451,-0.62005365,-0.97657928,-1.59352297,0.3109612,0.07546263,-0.39216146,-0.29790354,0.40841424,0.56660599,0.026821386,0.19906723
40,40,44,34,43,36,-0.18062317,-0.029394655,,,0.10466209,0.122851901,-0.47435597,-0.17419732,-0.12437662,-0.3314513,0.33674043,0.02197108
27,40,31,33,25,17,-0.06616243,-0.25936008,-0.36483786,-0.37728339,-0.17422801,-0.42686871,-0.17015218,0.00071117,-0.192033273,-0.21464396,-0.005380392,0.023344427
21,30,8,10,31,21,-0.07855296,-0.02791504,0.264006568,-0.03950707,-0.30157287,0.031443894,-0.53387785,-0.46093354,-0.302632265,0.11052575,-0.012045316,0.192332386
36,38,33,32,31,32,0.14801313,0.4751183,-0.26057864,0.01588705,-0.61794506,-0.089970347,0.212939623,0.07592234,-0.11673809,-0.00095962,0.26171569,0.141315812
22,35,26,35,35,28,-0.265489279,-0.41682754,0.402445641,0.52037863,-0.270783708,-0.61481184,-0.083818151,0.697581718,0.04401416,-0.08153277,-0.317182315,-0.35327592
18,32,34,30,27,21,-0.12844357,0.10652025,-0.11289372,-0.237451029,0.0666678,0.22216321,0.16444424,0.10739219,0.11080823,0.174304643,-0.02784865,-0.01732181
37,37,37,31,35,22,0.21761382,-0.03044367,-0.362711607,-0.40887791,0.302246701,0.50499969,-0.217181419,-0.12131562,0.12111336,-0.291932235,-0.00359538,0.08486357
39,41,39,29,33,26,0.17256406,-0.03109057,0.12215759,0.112807255,-0.09294787,-0.12709946,-0.08384418,-0.03945841,-0.03396213,0.07192021,-0.05713376,0.01984757
39,41,21,24,24,17,-0.029178,-0.06731436,0.03488672,-0.13939312,0.054819418,0.00442024,0.05781683,0.03602701,-0.01495939,0.0863517,0.03967428,0.15658468
18,32,24,24,31,26,-0.31366208,-0.08474702,-0.00151331,-0.15537248,-0.08878136,0.045982512,-0.297515398,-0.215261774,0.339923347,0.32324735,-0.14182778,-0.093404512
32,45,29,33,33,23,0.116307816,0.050765913,0.060718543,0.158473209,0.022972598,-0.099818286,0.01029956,-0.05878335,-0.022155259,-0.047449305,-0.01789574,0.08601146
19,30,23,16,34,24,-0.435244622,-0.504761835,-0.07787281,0.06819169,0.159750666,0.269585955,0.134011802,0.94279617,0.215342581,0.215720822,0.33399918,0.38300796
